item	image
7620298	Monet-Mer%20agit%C3%A9e%20%C3%A0%20Etretat-MBA-Lyon.jpg
20272169	Claude%20Monet%20-%20Arrival%20of%20the%20Normandy%20Train%2C%20Gare%20Saint-Lazare%20-%20Google%20Art%20Project.jpg
61227583	Dreux%20%C3%A9tude%20de%20glycine%201919-1920%20Claude%20Monet%20Eure-et-Loir%20France.jpg
20188741	Argenteuil%20A14692.jpg
49473320	Monet%20Poplars-at-giverny%20MOA%20W1291.jpg
20268712	Monet%20-%20Water%20Lily%20Pond%2C%201917-19%2C%201982.825.jpg
108479161	MB-Mon-01%20Monet%20Der-Hafen-von-Zaandam%201.jpg
105099584	Japanese%20Bridge%20by%20Claude%20Monet%2C%20Mus%C3%A9e%20Marmottan%20Monet%205079.JPG
21712146	Monet%2C%20Claude%20-%20Low%20Tide%20at%20Varengeville%20%281882%29.jpg
67158045	Monet%20-%20Le%20bassin%20aux%20nymph%C3%A9as%2C%20um%201916.jpg
20809473	Marine%20View%20with%20a%20Sunset%2C%20by%20Claude%20Monet.JPG
3232513	Claude%20Monet%20The%20Cliffs%20at%20Etretat.jpg
50415986	Nymph%C3%A9as%20reflets%20de%20saule%201916-19.jpg
19869038	Monet%2C%20Claude%20-%20Poppy%20Field.jpg
19200918	Claude%20Monet%20-%20Yellow%20Irises%20-%20Google%20Art%20Project.jpg
17494240	Madame%20Monet%20au%20canap%C3%A9%20Monet%201871.jpg
50006171	Monet%20Ext%C3%A9rieur%20de%20la%20gare%20Saint-Lazare%2C%20effet%20de%20soleil.jpg
17492321	Monet%20-%20Vetheuil%2C%20vu%20de%20Lavacourt%2C%201879.jpg
2395218	Claude%20Monet%20-%20Woman%20with%20a%20Parasol%20-%20Madame%20Monet%20and%20Her%20Son%20-%20Google%20Art%20Project.jpg
26707964	Monet%20w1922.jpg
74425851	Claude%20Monet%20-%20The%20Japanese%20Bridge%20-%20Google%20Art%20Project.jpg
28796932	Claude%20Monet%20-%20The%20Doges%20Palace%20%28Le%20Palais%20ducal%29%20-%20Google%20Art%20Project.jpg
105099565	Monet%20w362.jpg
105099628	Monet%201871%20View%20of%20the%20Voorzaan.jpg
17492904	Claude%20Monet%20-%20Le%20dejeurner%20sur%20l%27herbe%20%28left%20panel%29.jpg
85953907	Monet%20Water-Lilies%201903%20DAI.jpg
3820705	Claude%20Monet%20-%20Cath%C3%A9drale%20de%20Rouen.%20Harmonie%20bleue%20et%20or.jpg
27953819	Monet%20Seine.jpg
17436694	Rouen-cathedral-fog%20W1349.jpg
20268628	Claude%20Monet%20-%20Apples%20and%20Grapes%20-%201933.1152%20-%20Art%20Institute%20of%20Chicago.jpg
3212522	Claude%20Monet%20-%20The%20Rue%20Montorgueil%20in%20Paris.%20Celebration%20of%20June%2030%2C%201878%20-%20Google%20Art%20Project.jpg
17491064	Claude%20Monet%20051.jpg
18683932	Claude%20Monet%20-%20The%20Water%20Lily%20Pond%2C%20c.%201917-19%20-%20Google%20Art%20Project.jpg
47774422	Claude%20Monet%20-%20Stacks%20of%20Wheat%20%28End%20of%20Summer%29%20-%201985.1103%20-%20Art%20Institute%20of%20Chicago.jpg
112218689	Monet%20-%20the-bridge-at-argenteuil-grey-weather.jpg
20188856	Claude%20Monet%20-%20Monet%27s%20garden%20at%20V%C3%A9theuil%20%281880%29.jpg
20538846	Claude%20Monet%20-%20The%20Fort%20of%20Antibes.jpg
28797618	Claude%20Monet%20-%20The%20Water%20Lilies%20-%20Clear%20Morning%20with%20Willows%20-%20Google%20Art%20Project.jpg
16389932	Claude%20Monet%20Portrait%20Michel%20Pompom%20Hat.JPG
27976551	%27The%20Grand%20Quay%20at%20Havre%27%20by%20Claude%20Monet%2C%201874%2C%20Hermitage.JPG
19925565	Claude%20Monet%20029.jpg
50699803	1902%20Monet%20Die%20Waterloo-Br%C3%BCcke%20anagoria.JPG
108479178	MB-Mon-22%20Monet%20Limetz-im-Schnee%201.jpg
112181570	Claude%20Monet%2C%20Water-Lily%20Pond%20and%20Weeping%20Willow.JPG
