item	image
http://www.wikidata.org/entity/Q18683923	http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%2C%20French%20-%20The%20Japanese%20Footbridge%20and%20the%20Water%20Lily%20Pool%2C%20Giverny%20-%20Google%20Art%20Project.jpg
http://www.wikidata.org/entity/Q18683932	http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20-%20The%20Water%20Lily%20Pond%2C%20c.%201917-19%20-%20Google%20Art%20Project.jpg
http://www.wikidata.org/entity/Q18683932	http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%2C%20The%20Water%20Lily%20Pond%2C%20c.%201917-19%2C%20frame%20cropped%2C%20Google%20Art%20Project.jpg
http://www.wikidata.org/entity/Q18683944	http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20-%20St.%20Germain%20l%27Auxerrois%20%C3%A0%20Paris%20-%20Google%20Art%20Project.jpg
http://www.wikidata.org/entity/Q22205288	http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20019.jpg
http://www.wikidata.org/entity/Q42882621	http://commons.wikimedia.org/wiki/Special:FilePath/Monet%20-%20Cliffs%20near%20Dieppe%2C%201882.jpg
http://www.wikidata.org/entity/Q43083231	http://commons.wikimedia.org/wiki/Special:FilePath/WLANL%20-%20adagio808%20-%20Cloude%20Monet%2C%20Falaises%20pr%C3%A8s%20de%20Pourville%20%281882%29.jpg
http://www.wikidata.org/entity/Q46630809	http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%2C%20The%20Willows%2C%201880%2C%20NGA%20178254.jpg
http://www.wikidata.org/entity/Q46731104	http://commons.wikimedia.org/wiki/Special:FilePath/MB-Mon-25%20Monet%20Antibes-das-Fort%201.jpg
http://www.wikidata.org/entity/Q46935529	http://commons.wikimedia.org/wiki/Special:FilePath/Rocks%20at%20Belle-ile%2C%20Port-domois%20by%20Monet%2C%201886.jpg
http://www.wikidata.org/entity/Q47510174	http://commons.wikimedia.org/wiki/Special:FilePath/Monet%2C%20Champ%20d%27avoine%20aux%20coquelicots%20%28%20Mus%C3%A9e%20d%27art%20moderne%20et%20contemporain%2C%20Strasbourg%20%29.JPG
http://www.wikidata.org/entity/Q20266369	http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20-%20The%20Departure%20of%20the%20Boats%2C%20%C3%89tretat%20-%201922.428%20-%20Art%20Institute%20of%20Chicago.jpg
http://www.wikidata.org/entity/Q20266370	http://commons.wikimedia.org/wiki/Special:FilePath/Monet%20-%20The%20Petite%20Creuse%20River%2C%201889.jpg
http://www.wikidata.org/entity/Q20266903	http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20-%20Stack%20of%20Wheat%20%28Thaw%2C%20Sunset%29%20-%201983.166%20-%20Art%20Institute%20of%20Chicago.jpg
http://www.wikidata.org/entity/Q20266922	http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20-%20%C3%89tretat%2C%20The%20Beach%20and%20the%20Falaise%20d%27Amont%20-%201964.204%20-%20Art%20Institute%20of%20Chicago.jpg
http://www.wikidata.org/entity/Q20266927	http://commons.wikimedia.org/wiki/Special:FilePath/Monet%20-%20The%20Customs%20House%20at%20Varengeville%2C%201897.jpg
http://www.wikidata.org/entity/Q20267465	http://commons.wikimedia.org/wiki/Special:FilePath/Monet%20-%20Waterloo%20Bridge%2C%20Sunlight%20Effect%2C%201903.jpg
http://www.wikidata.org/entity/Q20267583	http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20-%20Stack%20of%20Wheat%20%28Snow%20Effect%2C%20Overcast%20Day%29%20-%201933.1155%20-%20Art%20Institute%20of%20Chicago.jpg
http://www.wikidata.org/entity/Q20267587	http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%2C%20Houses%20of%20Parliament%2C%20London%2C%201900-1903%2C%201933.1164%2C%20Art%20Institute%20of%20Chicago.jpg
http://www.wikidata.org/entity/Q20267671	http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20-%20Water%20Lilies%20-%201906%2C%20Ryerson.jpg
http://www.wikidata.org/entity/Q20267671	http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20-%20Water%20Lilies%20-%201933.1157%20-%20Art%20Institute%20of%20Chicago.jpg
http://www.wikidata.org/entity/Q20267913	http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Monet%20-%20Poppy%20Field%20%28Giverny%29%20-%201922.4465%20-%20Art%20Institute%20of%20Chicago.jpg
http://www.wikidata.org/entity/Q20268037	http://commons.wikimedia.org/wiki/Special:FilePath/Monet%20-%20Irises%2C%201914-17%2C%201956.1202.jpg
